what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1384641008471
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1384641008471
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1384641008471
java.vm.specification.version,sysinfo,,,"1.0",1384641008471
java.vm.vendor,sysinfo,,,"Apple Inc.",1384641008471
java.vm.version,sysinfo,,,"20.65-b04-462",1384641008471
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1384641011948
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1384641012165
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1384641012167
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1384641012787
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1384641012920
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384641013525
started,bundle,com.android.ide.eclipse.ddms,22.0.5.v201307292155--757759,"com.android.ide.eclipse.ddms",1384641021113
started,bundle,com.android.ide.eclipse.traceview,22.0.5.v201307292155--757759,"com.android.ide.eclipse.traceview",1384641024645
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384641028396
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384641028750
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384641038512
opened,view,com.android.ide.eclipse.ddms,22.0.5.v201307292155--757759,"com.android.ide.eclipse.ddms.views.LogCatView",1384641038718
activated,view,com.android.ide.eclipse.ddms,22.0.5.v201307292155--757759,"com.android.ide.eclipse.ddms.views.LogCatView",1384641038762
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1384641046903
activated,view,com.android.ide.eclipse.ddms,22.0.5.v201307292155--757759,"com.android.ide.eclipse.ddms.views.LogCatView",1384641046965
closed,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1384641046983
